Sven zwö Levels


01 Bauernhof
-------------LOADED LEVEL Barn-------------
BG_barn_left.bmp (-0.00375, -0.318333)
BG_barn_wall_06.bmp (0.0375, 0.14)
BG_barn_wall_01.bmp (-0.03375, 0.495)
BG_barn_wall_01.bmp (0.1875, 0.14)
BG_barn_wall_01.bmp (0.0375, 0.34)
BG_barn_troth.bmp (0.1475, 0.613333)
BG_barn_wall_02.bmp (0.35, 0.14)
BG_barn_wall_02.bmp (0.40375, 0.271667)
BG_barn_wall_02.bmp (0.45, 0.403333)
BG_barn_wall_03.bmp (0.51, 0.133333)
BG_barn_wall_03.bmp (0.56, 0.266667)
BG_barn_ropehanger.bmp (0.3475, 0.525)
BG_barn_wall_06.bmp (0.03625, 0.11)
BG_barn_wall_02.bmp (0.6475, 0.406667)
BG_barn_wall_05.bmp (0.7325, 0.275)
BG_barn_stanchion.bmp (0.55, -0.13)
BG_barn_wall_02.bmp (0.7, 0.275)
BG_barn_wall_02.bmp (0.0525, 0.54)
BG_barn_barrel.bmp (0.64, 0.226667)
BG_barn_wall_03.bmp (0.29375, 0.531667)
BG_barn_puddle_01.bmp (0.625, 0.15)
BG_barn_wall_05.bmp (0.56875, -0.00166667)
BG_barn_troth.bmp (0.7475, 0.745)
BG_barn_straw_02.bmp (0.91875, -0.0183333)
BG_barn_straw_01.bmp (0.84, -0.0383333)
BG_barn_straw_01.bmp (0.87625, -0.0433333)
BG_barn_straw_02.bmp (0.75, -0.0416667)
BG_barn_wall_05.bmp (0.65625, -0.116667)
BG_barn_wall_02.bmp (0.5025, 0.673333)
BG_barn_straw_02.bmp (0.9075, 0.645)
BG_barn_wall_03.bmp (0.75, 0.696667)
BG_barn_wall_03.bmp (0.5, 0.696667)
BG_barn_troth.bmp (0.4975, 0.745)
BG_barn_wall_02.bmp (0.7475, 0.673333)
BG_barn_straw_01.bmp (-0.04125, 0.565)
BG_barn_straw_02.bmp (0.9, 0.891667)
BG_barn_straw_02.bmp (-0.05125, 0.496667)
BG_barn_puddle_02.bmp (0.13, 0.416667)
BG_barn_puddle_01.bmp (0.47625, 0.82)
-------------LOADED LEVEL Barn-------------
BG_barn_right.bmp (0.53, -0.143333)
BG_barn_wall_02.bmp (0.6, 0.406667)
BG_barn_wall_02.bmp (0.65, 0.54)
BG_barn_wall_02.bmp (0.3, 0.606667)
BG_barn_wall_02.bmp (0.35, 0.74)
BG_barn_wall_02.bmp (0.25, 0.406667)
BG_barn_wall_02.bmp (0.2, 0.273333)
BG_barn_wall_03.bmp (0.41, 0.598333)
BG_barn_wall_02.bmp (-0.1, 0.54)
BG_barn_wall_03.bmp (0.01, 0.533333)
BG_barn_wall_03.bmp (-0.04, 0.4)
BG_barn_wall_02.bmp (-0.05, 0.673333)
BG_barn_wall_03.bmp (0.71, 0.4)
BG_barn_wall_02.bmp (-0.15, 0.406667)
BG_barn_wall_03.bmp (0.56, 0.858333)
BG_barn_wall_03.bmp (0.36, 0.858333)
BG_barn_wall_03.bmp (0.16, 0.858333)
BG_barn_wall_03.bmp (0.76, 0.858333)
BG_barn_wall_02.bmp (0.65, 0.94)
BG_barn_wall_02.bmp (0.4125, 0.94)
