-------------LOADED LEVEL garden-------------
BG_garden_fence4.bmp (-0.02875, 0.415)
BG_garden_fence2.bmp (0.19625, 0.406667)
BG_garden_fence4.bmp (0.76625, 0.303333)
BG_garden_fence1.bmp (0.315, 0.4)
BG_garden_fence2.bmp (0.46625, 0.406667)
BG_garden_fence1.bmp (0.59125, 0.398333)
BG_garden_fence1.bmp (0.04625, 0.398333)
BG_garden_fence3.bmp (0.84, 0.168333)
BG_garden_fence4.bmp (0.9325, 0.085)
BG_garden_bush1.bmp (0.3125, 0.0216667)
BG_garden_bush1.bmp (0.445, 0.025)
BG_garden_bush1.bmp (0.58375, 0.0266667)
BG_garden_house1.bmp (-0.13875, -0.201667)
BG_garden_bush1.bmp (0.8975, 0.03)
BG_garden_bush2.bmp (0.895, 0.0433333)
BG_garden_bush2.bmp (0.81125, 0.156667)
BG_garden_bush2.bmp (0.73125, 0.263333)
BG_garden_bush1.bmp (0.59625, 0.371667)
BG_garden_bush1.bmp (0.4575, 0.371667)
BG_garden_bush1.bmp (0.3075, 0.371667)
BG_garden_bush1.bmp (0.16125, 0.37)
BG_garden_bush1.bmp (0.02, 0.37)
BG_garden_bench1.bmp (-0.04375, 0.216667)
BG_garden_bush1.bmp (0.19625, 0.02)
BG_garden_box1.bmp (0.21625, 0.045)
BG_garden_bush2.bmp (-0.0625, 0.378333)
BG_garden_bush5.bmp (0.73125, -0.0516667)
BG_garden_bush5.bmp (0.84875, -0.05)
BG_garden_fence1.bmp (0.6175, -0.0166667)
BG_garden_fence2.bmp (0.47, -0.01)
BG_garden_fence1.bmp (0.29125, -0.0166667)
BG_garden_fence2.bmp (0.145, -0.01)
BG_garden_fence1.bmp (0.88, -0.0183333)
BG_garden_road1.bmp (0.59375, -0.08)
help_trigger.bmp (0.15, 0.633333)
help_trigger.bmp (0.3, 0.833333)
help_trigger.bmp (0.75, 0.566667)
-------------LOADED LEVEL garden-------------
BG_garden_fence4.bmp (-0.02875, 0.415)
BG_garden_fence2.bmp (0.19625, 0.406667)
BG_garden_fence4.bmp (0.76625, 0.303333)
BG_garden_fence1.bmp (0.315, 0.4)
BG_garden_fence2.bmp (0.46625, 0.406667)
BG_garden_fence1.bmp (0.59125, 0.398333)
BG_garden_fence1.bmp (0.04625, 0.398333)
BG_garden_fence3.bmp (0.84, 0.168333)
BG_garden_fence4.bmp (0.9325, 0.085)
BG_garden_bush1.bmp (0.3125, 0.0216667)
BG_garden_bush1.bmp (0.445, 0.025)
BG_garden_bush1.bmp (0.58375, 0.0266667)
BG_garden_house1.bmp (-0.13875, -0.201667)
BG_garden_bush1.bmp (0.8975, 0.03)
BG_garden_bush2.bmp (0.895, 0.0433333)
BG_garden_bush2.bmp (0.81125, 0.156667)
BG_garden_bush2.bmp (0.73125, 0.263333)
BG_garden_bush1.bmp (0.59625, 0.371667)
BG_garden_bush1.bmp (0.4575, 0.371667)
BG_garden_bush1.bmp (0.3075, 0.371667)
BG_garden_bush1.bmp (0.16125, 0.37)
BG_garden_bush1.bmp (0.02, 0.37)
BG_garden_bench1.bmp (-0.04375, 0.216667)
BG_garden_bush1.bmp (0.19625, 0.02)
BG_garden_box1.bmp (0.21625, 0.045)
BG_garden_bush2.bmp (-0.0625, 0.378333)
BG_garden_bush5.bmp (0.73125, -0.0516667)
BG_garden_bush5.bmp (0.84875, -0.05)
BG_garden_fence1.bmp (0.6175, -0.0166667)
BG_garden_fence2.bmp (0.47, -0.01)
BG_garden_fence1.bmp (0.29125, -0.0166667)
BG_garden_fence2.bmp (0.145, -0.01)
BG_garden_fence1.bmp (0.88, -0.0183333)
BG_garden_road1.bmp (0.59375, -0.08)
help_trigger.bmp (0.15, 0.7)
help_trigger.bmp (0.3, 0.9)
help_trigger.bmp (0.7, 0.766667)
-------------LOADED LEVEL garden-------------
BG_garden_fence4.bmp (-0.02875, 0.415)
BG_garden_fence2.bmp (0.19625, 0.406667)
BG_garden_fence4.bmp (0.76625, 0.303333)
BG_garden_fence1.bmp (0.315, 0.4)
BG_garden_fence2.bmp (0.46625, 0.406667)
